Capacity(mAh),Config (s),Discharge (c),Height-B(mm),Length-A(mm),Max Charge Rate (C),Weight (g),Width-C(mm),description
2200.0,3.0,45.0,36.0,112.0,10.0,201.0,26.0,Turnigy nano-tech 2200mah 3S 45~90C Lipo Pack
2200.0,4.0,45.0,35.0,109.0,10.0,257.0,33.0,Turnigy nano-tech 2200mah 4S 45~90C Lipo Pack
3300.0,3.0,45.0,44.0,146.0,10.0,317.0,24.0,Turnigy nano-tech 3300mah 3S 45~90C Lipo Pack
4000.0,3.0,45.0,62.0,164.0,10.0,375.0,23.0,Turnigy nano-tech 4000mah 3S 45~90C Lipo Pack
4000.0,4.0,45.0,49.0,168.0,10.0,485.0,29.0,Turnigy nano-tech 4000mah 4S 45~90C Lipo Pack
5000.0,3.0,45.0,48.0,150.0,10.0,425.0,27.0,Turnigy nano-tech 5000mah 3S 45~90C Lipo Pack
5000.0,4.0,45.0,50.0,166.0,10.0,585.0,37.0,Turnigy nano-tech 5000mah 4S 45~90C Lipo Pack
2100.0,3.0,35.0,34.0,113.0,2.0,197.0,25.0,Zippy Flightmax 2100mAh 3S 35C Lipo Pack
2800.0,3.0,30.0,37.0,116.0,2.0,231.0,27.0,ZIPPY Flightmax 2800mAh 3S1P 30C
2800.0,4.0,30.0,37.0,120.0,3.0,299.0,36.0,ZIPPY Flightmax 2800mAh 4S1P 30C 
2800.0,6.0,30.0,38.0,121.0,2.0,437.0,52.0,ZIPPY Flightmax 2800mAh 6S1P 30C 
4000.0,2.0,20.0,46.0,137.0,2.0,238.0,25.0,ZIPPY Flightmax 4000mAh 2S1P 20C hardcase pack
5000.0,2.0,20.0,46.0,137.0,2.0,279.0,25.0,ZIPPY Flightmax 5000mAh 2S1P 20C hardcase pack
4000.0,2.0,30.0,47.0,137.0,3.0,256.0,25.0,ZIPPY Flightmax 4000mAh 2S1P 30C hardcase pack
5000.0,2.0,30.0,47.0,138.0,3.0,301.0,25.0,ZIPPY Flightmax 5000mAh 2S1P 30C hardcase pack
4000.0,3.0,20.0,46.0,137.0,2.0,335.0,32.0,ZIPPY Flightmax 4000mAh 3S1P 20C Hardcase pack
5000.0,3.0,20.0,47.0,137.0,2.0,418.0,40.0,ZIPPY Flightmax 5000mAh 3S1P 20C hardcase pack
4000.0,3.0,30.0,47.0,137.0,3.0,365.0,39.0,ZIPPY Flightmax 4000mAh 3S1P 30C Hardcase pack
5000.0,3.0,30.0,46.0,137.0,3.0,429.0,40.0,ZIPPY Flightmax 5000mAh 3S1P 30C Hardcase pack
4500.0,10.0,25.0,53.0,305.0,5.0,1157.0,36.0,Turnigy nano-tech 4500mah 10S 25~50C Lipo Pack
4000.0,5.0,25.0,49.0,161.0,5.0,525.0,33.0,Turnigy nano-tech 4000mah 5S 25~50C Lipo Pack
4000.0,5.0,45.0,50.0,159.0,10.0,583.0,36.0,Turnigy nano-tech 4000mah 5S 45~90C Lipo Pack
4000.0,6.0,45.0,50.0,163.0,10.0,684.0,42.0,Turnigy nano-tech 4000mah 6S 45~90C Lipo Pack
5000.0,5.0,25.0,50.0,160.0,5.0,643.0,41.0,Turnigy nano-tech 5000mah 5S 25~50C Lipo Pack
4000.0,10.0,45.0,54.0,305.0,10.0,1169.0,36.0,Turnigy nano-tech 4000mah 10S 45~90C Lipo Pack
5000.0,5.0,45.0,50.0,161.0,10.0,715.0,44.0,Turnigy nano-tech 5000mah 5S 45~90C Lipo Pack
5000.0,6.0,45.0,49.0,157.0,10.0,813.0,50.0,Turnigy nano-tech 5000mah 6S 45~90C Lipo Pack
138.0,1.0,10.0,12.0,35.0,5.0,4.0,6.0,NE-B918 120mAh 1S 10C (V2) OEM Replacement for: NE4950001
150.0,1.0,10.0,12.0,39.0,5.0,4.0,6.0,Nine Eagles replacement High-Cap 150mAh 1S LiPo
1300.0,2.0,20.0,30.0,90.0,5.0,76.0,14.0,Turnigy 1300mAh 2S 20C Lipo Pack (Suit 1/18th Truck)
1700.0,2.0,20.0,26.5,91.0,5.0,92.0,18.0,"Turnigy 1700mAh 2S 20C Lipo Pack (Suits 1/16th Monster Beatle, SCT & Buggy)"
2200.0,3.0,30.0,35.0,105.0,2.0,195.0,26.0,B-Grade 2200mAh 3S 30C Lipoly Battery
2200.0,3.0,20.0,35.0,105.0,2.0,190.0,25.0,B-Grade 2200mAh 3S 20C Lipoly Battery
5000.0,3.0,40.0,50.0,148.0,2.0,445.0,28.0,B-Grade 5000mAh 3S 40C Lipoly Battery
5000.0,3.0,25.0,50.0,147.0,2.0,421.0,27.0,B-Grade 5000mAh 3S 25C Lipoly Battery
5000.0,3.0,30.0,50.0,147.0,2.0,422.0,27.0,B-Grade 5000mAh 3S 30C Lipoly Battery
5000.0,3.0,20.0,49.0,147.0,2.0,408.0,26.0,B-Grade 5000mAh 3S 20C Lipoly Battery
6000.0,2.0,25.0,45.0,132.0,2.0,371.0,29.0,Turnigy 6000mAh 2S2P 7.4v 25C hardcase pack
5300.0,2.0,25.0,46.0,138.0,5.0,325.0,25.0,Turnigy 5300mAh 2S2P 7.4v 25C hardcase pack
3800.0,2.0,25.0,45.0,136.0,5.0,235.0,22.0,Turnigy 3800mAh 2S1P 7.4v 25C hardcase pack
5000.0,4.0,20.0,45.0,139.0,5.0,528.0,44.0,Turnigy 5000mAh 4S1P 14.8v 20C hardcase pack
